ground,date,winner,host_country,home_team,away_team,neutral
Dhaka,"Jan 16, 2009",Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,False
Melbourne,"Jan 16, 2009",South Africa,Australia,Australia,South Africa,False
Hobart,"Jan 18, 2009",Australia,Australia,Australia,South Africa,False
Dhaka,"Jan 19, 2009",Zimbabwe,Bangladesh,Bangladesh,Zimbabwe,False
Karachi,"Jan 20, 2009",Pakistan,Pakistan,Pakistan,Sri Lanka,False
Dhaka,"Jan 21, 2009",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Karachi,"Jan 21, 2009",Sri Lanka,Pakistan,Pakistan,Sri Lanka,False
Dhaka,"Jan 23, 2009",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Sydney,"Jan 23, 2009",South Africa,Australia,Australia,South Africa,False
Lahore,"Jan 24, 2009",Sri Lanka,Pakistan,Pakistan,Sri Lanka,False
Adelaide,"Jan 26, 2009",South Africa,Australia,Australia,South Africa,False
Mombasa,"Jan 27, 2009",Zimbabwe,Kenya,Kenya,Zimbabwe,False
Dambulla,"Jan 28, 2009",India,Sri Lanka,Sri Lanka,India,False
Mombasa,"Jan 29, 2009",Zimbabwe,Kenya,Kenya,Zimbabwe,False
Perth,"Jan 30, 2009",South Africa,Australia,Australia,South Africa,False
Nairobi,"Jan 31, 2009",Zimbabwe,Kenya,Kenya,Zimbabwe,False
Colombo,"Jan 31, 2009",India,Sri Lanka,Sri Lanka,India,False
Perth,"Feb 1, 2009",New Zealand,Australia,Australia,New Zealand,False
Nairobi,"Feb 1, 2009",Zimbabwe,Kenya,Kenya,Zimbabwe,False
Colombo,"Feb 3, 2009",India,Sri Lanka,Sri Lanka,India,False
Nairobi,"Feb 4, 2009",Zimbabwe,Kenya,Kenya,Zimbabwe,False
Colombo,"Feb 5, 2009",India,Sri Lanka,Sri Lanka,India,False
Melbourne,"Feb 6, 2009",New Zealand,Australia,Australia,New Zealand,False
Sydney,"Feb 8, 2009",Australia,Australia,Australia,New Zealand,False
Colombo,"Feb 8, 2009",Sri Lanka,Sri Lanka,Sri Lanka,India,False
Adelaide,"Feb 10, 2009",Australia,Australia,Australia,New Zealand,False
Napier,"Mar 3, 2009",India,New Zealand,New Zealand,India,False
Christchurch,"Mar 8, 2009",India,New Zealand,New Zealand,India,False
Hamilton,"Mar 11, 2009",India,New Zealand,New Zealand,India,False
Auckland,"Mar 14, 2009",New Zealand,New Zealand,New Zealand,India,False
Providence,"Mar 20, 2009",England,West Indies,West Indies,England,False
Providence,"Mar 22, 2009",West Indies,West Indies,West Indies,England,False
Bridgetown,"Mar 27, 2009",West Indies,West Indies,West Indies,England,False
Bridgetown,"Mar 29, 2009",England,West Indies,West Indies,England,False
Benoni,"Apr 1, 2009",Ireland,South Africa,Scotland,Ireland,True
Potchefstroom,"Apr 1, 2009",Netherlands,South Africa,Netherlands,Kenya,True
Durban,"Apr 3, 2009",Australia,South Africa,South Africa,Australia,False
Gros Islet,"Apr 3, 2009",England,West Indies,West Indies,England,False
Centurion,"Apr 5, 2009",South Africa,South Africa,South Africa,Australia,False
Potchefstroom,"Apr 6, 2009",Kenya,South Africa,Kenya,Bermuda,True
Benoni,"Apr 6, 2009",Ireland,South Africa,Ireland,Canada,True
Potchefstroom,"Apr 8, 2009",Netherlands,South Africa,Netherlands,Bermuda,True
Benoni,"Apr 8, 2009",Canada,South Africa,Scotland,Canada,True
Cape Town,"Apr 9, 2009",South Africa,South Africa,South Africa,Australia,False
Port Elizabeth,"Apr 13, 2009",South Africa,South Africa,South Africa,Australia,False
Johannesburg,"Apr 17, 2009",Australia,South Africa,South Africa,Australia,False
Benoni,"Apr 19, 2009",Afghanistan,South Africa,Scotland,Afghanistan,True
Centurion,"Apr 19, 2009",Ireland,South Africa,Ireland,Canada,True
Potchefstroom,"Apr 19, 2009",Netherlands,South Africa,Netherlands,Kenya,True
Dubai,"Apr 22, 2009",Pakistan,U.A.E.,Pakistan,Australia,True
Dubai,"Apr 24, 2009",Australia,U.A.E.,Pakistan,Australia,True
Abu Dhabi,"Apr 27, 2009",Australia,U.A.E.,Pakistan,Australia,True
Abu Dhabi,"May 1, 2009",Australia,U.A.E.,Pakistan,Australia,True
Abu Dhabi,"May 3, 2009",Pakistan,U.A.E.,Pakistan,Australia,True
Bristol,"May 24, 2009",England,England,England,West Indies,False
Birmingham,"May 26, 2009",England,England,England,West Indies,False
Kingston,"Jun 26, 2009",India,West Indies,West Indies,India,False
Kingston,"Jun 28, 2009",West Indies,West Indies,West Indies,India,False
Gros Islet,"Jul 3, 2009",India,West Indies,West Indies,India,False
Aberdeen,"Jul 7, 2009",Canada,Scotland,Scotland,Canada,False
Aberdeen,"Jul 8, 2009",Scotland,Scotland,Scotland,Canada,False
Dublin,"Jul 9, 2009",Ireland,Ireland,Ireland,Kenya,False
Amstelveen,"Jul 11, 2009",Netherlands,Netherlands,Netherlands,Canada,False
Dublin,"Jul 11, 2009",Ireland,Ireland,Ireland,Kenya,False
Dublin,"Jul 12, 2009",Ireland,Ireland,Ireland,Kenya,False
Roseau,"Jul 26, 2009",Bangladesh,West Indies,West Indies,Bangladesh,False
Roseau,"Jul 28, 2009",Bangladesh,West Indies,West Indies,Bangladesh,False
Dambulla,"Jul 30, 2009",Sri Lanka,Sri Lanka,Sri Lanka,Pakistan,False
Basseterre,"Jul 31, 2009",Bangladesh,West Indies,West Indies,Bangladesh,False
Dambulla,"Aug 1, 2009",Sri Lanka,Sri Lanka,Sri Lanka,Pakistan,False
Dambulla,"Aug 3, 2009",Sri Lanka,Sri Lanka,Sri Lanka,Pakistan,False
Colombo,"Aug 7, 2009",Pakistan,Sri Lanka,Sri Lanka,Pakistan,False
Bulawayo,"Aug 9, 2009",Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,False
Colombo,"Aug 9, 2009",Pakistan,Sri Lanka,Sri Lanka,Pakistan,False
Bulawayo,"Aug 11, 2009",Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,False
Bulawayo,"Aug 14, 2009",Zimbabwe,Zimbabwe,Zimbabwe,Bangladesh,False
Bulawayo,"Aug 16, 2009",Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,False
Bulawayo,"Aug 18, 2009",Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,False
King City,"Aug 19, 2009",Canada,Canada,Canada,Kenya,False
Aberdeen,"Aug 22, 2009",Ireland,Scotland,Scotland,Ireland,False
Belfast,"Aug 27, 2009",England,Ireland,Ireland,England,False
Edinburgh,"Aug 28, 2009",Australia,Scotland,Scotland,Australia,False
Amstelveen,"Aug 30, 2009",Netherlands,Netherlands,Netherlands,Afghanistan,False
Amstelveen,"Sep 1, 2009",Afghanistan,Netherlands,Netherlands,Afghanistan,False
The Oval,"Sep 4, 2009",Australia,England,England,Australia,False
Lord's,"Sep 6, 2009",Australia,England,England,Australia,False
Colombo,"Sep 8, 2009",Sri Lanka,Sri Lanka,Sri Lanka,New Zealand,False
Southampton,"Sep 9, 2009",Australia,England,England,Australia,False
Colombo,"Sep 11, 2009",India,Sri Lanka,New Zealand,India,True
Colombo,"Sep 12, 2009",Sri Lanka,Sri Lanka,Sri Lanka,India,False
Lord's,"Sep 12, 2009",Australia,England,England,Australia,False
Colombo,"Sep 14, 2009",India,Sri Lanka,Sri Lanka,India,False
Nottingham,"Sep 15, 2009",Australia,England,England,Australia,False
Nottingham,"Sep 17, 2009",Australia,England,England,Australia,False
Chester,"Sep 20, 2009",England,England,England,Australia,False
Centurion,"Sep 22, 2009",Sri Lanka,South Africa,South Africa,Sri Lanka,False
Johannesburg,"Sep 23, 2009",Pakistan,South Africa,West Indies,Pakistan,True
Centurion,"Sep 24, 2009",South Africa,South Africa,South Africa,New Zealand,False
Johannesburg,"Sep 25, 2009",England,South Africa,Sri Lanka,England,True
Johannesburg,"Sep 26, 2009",Australia,South Africa,West Indies,Australia,True
Centurion,"Sep 26, 2009",Pakistan,South Africa,Pakistan,India,True
Johannesburg,"Sep 27, 2009",New Zealand,South Africa,Sri Lanka,New Zealand,True
Centurion,"Sep 27, 2009",England,South Africa,South Africa,England,False
Johannesburg,"Sep 29, 2009",New Zealand,South Africa,New Zealand,England,True
Centurion,"Sep 30, 2009",Australia,South Africa,Pakistan,Australia,True
Johannesburg,"Sep 30, 2009",India,South Africa,West Indies,India,True
Centurion,"Oct 2, 2009",Australia,South Africa,England,Australia,True
Johannesburg,"Oct 3, 2009",New Zealand,South Africa,Pakistan,New Zealand,True
Centurion,"Oct 5, 2009",Australia,South Africa,New Zealand,Australia,True
Harare,"Oct 12, 2009",Zimbabwe,Zimbabwe,Zimbabwe,Kenya,False
Harare,"Oct 13, 2009",Zimbabwe,Zimbabwe,Zimbabwe,Kenya,False
Harare,"Oct 15, 2009",Kenya,Zimbabwe,Zimbabwe,Kenya,False
Harare,"Oct 17, 2009",Zimbabwe,Zimbabwe,Zimbabwe,Kenya,False
Harare,"Oct 18, 2009",Zimbabwe,Zimbabwe,Zimbabwe,Kenya,False
Vadodara,"Oct 25, 2009",Australia,India,India,Australia,False
Dhaka,"Oct 27, 2009",Zimbabwe,Bangladesh,Bangladesh,Zimbabwe,False
Nagpur,"Oct 28, 2009",India,India,India,Australia,False
Dhaka,"Oct 29, 2009",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Dhaka,"Oct 31, 2009",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Delhi,"Oct 31, 2009",India,India,India,Australia,False
Chittagong,"Nov 3, 2009",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Abu Dhabi,"Nov 3, 2009",Pakistan,U.A.E.,Pakistan,New Zealand,True
Chittagong,"Nov 5, 2009",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Hyderabad,"Nov 5, 2009",Australia,India,India,Australia,False
Abu Dhabi,"Nov 6, 2009",New Zealand,U.A.E.,Pakistan,New Zealand,True
Guwahati,"Nov 8, 2009",Australia,India,India,Australia,False
Benoni,"Nov 8, 2009",South Africa,South Africa,South Africa,Zimbabwe,False
Abu Dhabi,"Nov 9, 2009",New Zealand,U.A.E.,Pakistan,New Zealand,True
Centurion,"Nov 10, 2009",South Africa,South Africa,South Africa,Zimbabwe,False
Centurion,"Nov 22, 2009",England,South Africa,South Africa,England,False
Cape Town,"Nov 27, 2009",South Africa,South Africa,South Africa,England,False
Port Elizabeth,"Nov 29, 2009",England,South Africa,South Africa,England,False
Rajkot,"Dec 15, 2009",India,India,India,Sri Lanka,False
Nagpur,"Dec 18, 2009",Sri Lanka,India,India,Sri Lanka,False
Cuttack,"Dec 21, 2009",India,India,India,Sri Lanka,False
Kolkata,"Dec 24, 2009",India,India,India,Sri Lanka,False
Dhaka,"Jan 4, 2010",Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,False
Dhaka,"Jan 5, 2010",Sri Lanka,Bangladesh,Sri Lanka,India,True
Dhaka,"Jan 7, 2010",India,Bangladesh,Bangladesh,India,False
Dhaka,"Jan 8, 2010",Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,False
Dhaka,"Jan 10, 2010",India,Bangladesh,Sri Lanka,India,True
Dhaka,"Jan 11, 2010",India,Bangladesh,Bangladesh,India,False
Dhaka,"Jan 13, 2010",Sri Lanka,Bangladesh,Sri Lanka,India,True
Brisbane,"Jan 22, 2010",Australia,Australia,Australia,Pakistan,False
Sydney,"Jan 24, 2010",Australia,Australia,Australia,Pakistan,False
Adelaide,"Jan 26, 2010",Australia,Australia,Australia,Pakistan,False
Perth,"Jan 29, 2010",Australia,Australia,Australia,Pakistan,False
Perth,"Jan 31, 2010",Australia,Australia,Australia,Pakistan,False
Napier,"Feb 5, 2010",New Zealand,New Zealand,New Zealand,Bangladesh,False
Melbourne,"Feb 7, 2010",Australia,Australia,Australia,West Indies,False
Dunedin,"Feb 8, 2010",New Zealand,New Zealand,New Zealand,Bangladesh,False
Adelaide,"Feb 9, 2010",Australia,Australia,Australia,West Indies,False
Christchurch,"Feb 11, 2010",New Zealand,New Zealand,New Zealand,Bangladesh,False
Brisbane,"Feb 14, 2010",Australia,Australia,Australia,West Indies,False
Nairobi,"Feb 16, 2010",Kenya,Kenya,Kenya,Netherlands,False
Sharjah,"Feb 16, 2010",Afghanistan,U.A.E.,Canada,Afghanistan,True
Nairobi,"Feb 18, 2010",Netherlands,Kenya,Kenya,Netherlands,False
Sharjah,"Feb 18, 2010",Canada,U.A.E.,Canada,Afghanistan,True
Melbourne,"Feb 19, 2010",Australia,Australia,Australia,West Indies,False
Jaipur,"Feb 21, 2010",India,India,India,South Africa,False
Gwalior,"Feb 24, 2010",India,India,India,South Africa,False
Ahmedabad,"Feb 27, 2010",South Africa,India,India,South Africa,False
Dhaka,"Feb 28, 2010",England,Bangladesh,Bangladesh,England,False
Dhaka,"Mar 2, 2010",England,Bangladesh,Bangladesh,England,False
Napier,"Mar 3, 2010",New Zealand,New Zealand,New Zealand,Australia,False
Providence,"Mar 4, 2010",Zimbabwe,West Indies,West Indies,Zimbabwe,False
Chittagong,"Mar 5, 2010",England,Bangladesh,Bangladesh,England,False
Auckland,"Mar 6, 2010",Australia,New Zealand,New Zealand,Australia,False
Providence,"Mar 6, 2010",West Indies,West Indies,West Indies,Zimbabwe,False
Hamilton,"Mar 9, 2010",Australia,New Zealand,New Zealand,Australia,False
Kingstown,"Mar 10, 2010",West Indies,West Indies,West Indies,Zimbabwe,False
Auckland,"Mar 11, 2010",Australia,New Zealand,New Zealand,Australia,False
Kingstown,"Mar 12, 2010",West Indies,West Indies,West Indies,Zimbabwe,False
Wellington,"Mar 13, 2010",New Zealand,New Zealand,New Zealand,Australia,False
Kingstown,"Mar 14, 2010",West Indies,West Indies,West Indies,Zimbabwe,False
Kingston,"Apr 13, 2010",West Indies,West Indies,West Indies,Canada,False
Kingston,"Apr 15, 2010",West Indies,West Indies,West Indies,Ireland,False
North Sound,"May 22, 2010",South Africa,West Indies,West Indies,South Africa,False
North Sound,"May 24, 2010",South Africa,West Indies,West Indies,South Africa,False
Bulawayo,"May 28, 2010",Zimbabwe,Zimbabwe,Zimbabwe,India,False
Roseau,"May 28, 2010",South Africa,West Indies,West Indies,South Africa,False
Bulawayo,"May 30, 2010",India,Zimbabwe,Sri Lanka,India,True
Roseau,"May 30, 2010",South Africa,West Indies,West Indies,South Africa,False
Bulawayo,"Jun 1, 2010",Sri Lanka,Zimbabwe,Zimbabwe,Sri Lanka,False
Harare,"Jun 3, 2010",Zimbabwe,Zimbabwe,Zimbabwe,India,False
Port of Spain,"Jun 3, 2010",South Africa,West Indies,West Indies,South Africa,False
Harare,"Jun 5, 2010",Sri Lanka,Zimbabwe,Sri Lanka,India,True
Harare,"Jun 7, 2010",Zimbabwe,Zimbabwe,Zimbabwe,Sri Lanka,False
Harare,"Jun 9, 2010",Sri Lanka,Zimbabwe,Zimbabwe,Sri Lanka,False
Dambulla,"Jun 15, 2010",Sri Lanka,Sri Lanka,Sri Lanka,Pakistan,False
Rotterdam,"Jun 15, 2010",Netherlands,Netherlands,Netherlands,Scotland,False
Dambulla,"Jun 16, 2010",India,Sri Lanka,India,Bangladesh,True
Dublin,"Jun 17, 2010",Australia,Ireland,Ireland,Australia,False
Dambulla,"Jun 18, 2010",Sri Lanka,Sri Lanka,Sri Lanka,Bangladesh,False
Dambulla,"Jun 19, 2010",India,Sri Lanka,Pakistan,India,True
Edinburgh,"Jun 19, 2010",England,Scotland,Scotland,England,False
Dambulla,"Jun 21, 2010",Pakistan,Sri Lanka,Pakistan,Bangladesh,True
Dambulla,"Jun 22, 2010",Sri Lanka,Sri Lanka,Sri Lanka,India,False
Southampton,"Jun 22, 2010",England,England,England,Australia,False
Dambulla,"Jun 24, 2010",India,Sri Lanka,Sri Lanka,India,False
Cardiff,"Jun 24, 2010",England,England,England,Australia,False
Manchester,"Jun 27, 2010",England,England,England,Australia,False
The Oval,"Jun 30, 2010",Australia,England,England,Australia,False
The Hague,"Jul 1, 2010",Afghanistan,Netherlands,Canada,Afghanistan,True
Rotterdam,"Jul 1, 2010",Ireland,Netherlands,Kenya,Ireland,True
Amstelveen,"Jul 1, 2010",Scotland,Netherlands,Netherlands,Scotland,False
Rotterdam,"Jul 3-4, 2010",Ireland,Netherlands,Ireland,Afghanistan,True
Amstelveen,"Jul 3, 2010",Scotland,Netherlands,Scotland,Canada,True
The Hague,"Jul 3, 2010",Netherlands,Netherlands,Netherlands,Kenya,False
Lord's,"Jul 3, 2010",Australia,England,England,Australia,False
Amstelveen,"Jul 5, 2010",Afghanistan,Netherlands,Kenya,Afghanistan,True
The Hague,"Jul 5, 2010",Ireland,Netherlands,Scotland,Ireland,True
Rotterdam,"Jul 5, 2010",Netherlands,Netherlands,Netherlands,Canada,False
Amstelveen,"Jul 7, 2010",Ireland,Netherlands,Ireland,Canada,True
Rotterdam,"Jul 7, 2010",Scotland,Netherlands,Scotland,Kenya,True
The Hague,"Jul 7, 2010",Afghanistan,Netherlands,Netherlands,Afghanistan,False
Nottingham,"Jul 8, 2010",England,England,England,Bangladesh,False
Rotterdam,"Jul 9, 2010",Scotland,Netherlands,Scotland,Afghanistan,True
Schiedam,"Jul 9, 2010",Canada,Netherlands,Kenya,Canada,True
Amstelveen,"Jul 9, 2010",Ireland,Netherlands,Netherlands,Ireland,False
Schiedam,"Jul 10, 2010",Canada,Netherlands,Kenya,Canada,True
Amstelveen,"Jul 10, 2010",Ireland,Netherlands,Scotland,Ireland,True
Rotterdam,"Jul 10, 2010",Afghanistan,Netherlands,Netherlands,Afghanistan,False
Bristol,"Jul 10, 2010",Bangladesh,England,England,Bangladesh,False
Birmingham,"Jul 12, 2010",England,England,England,Bangladesh,False
Belfast,"Jul 15, 2010",Ireland,Ireland,Ireland,Bangladesh,False
Belfast,"Jul 16, 2010",Bangladesh,Ireland,Ireland,Bangladesh,False
Glasgow,"Jul 20, 2010",Netherlands,Scotland,Netherlands,Bangladesh,True
Dambulla,"Aug 10, 2010",New Zealand,Sri Lanka,New Zealand,India,True
Dambulla,"Aug 13, 2010",Sri Lanka,Sri Lanka,Sri Lanka,New Zealand,False
Dambulla,"Aug 16, 2010",India,Sri Lanka,Sri Lanka,India,False
Ayr,"Aug 16, 2010",Afghanistan,Scotland,Scotland,Afghanistan,False
Dublin,"Aug 16, 2010",Ireland,Ireland,Ireland,Netherlands,False
Ayr,"Aug 17, 2010",Scotland,Scotland,Scotland,Afghanistan,False
Dublin,"Aug 18, 2010",Ireland,Ireland,Ireland,Netherlands,False
Dambulla,"Aug 22, 2010",Sri Lanka,Sri Lanka,Sri Lanka,India,False
Dambulla,"Aug 25, 2010",India,Sri Lanka,New Zealand,India,True
Dambulla,"Aug 28, 2010",Sri Lanka,Sri Lanka,Sri Lanka,India,False
Toronto,"Sep 6, 2010",Canada,Canada,Canada,Ireland,False
Toronto,"Sep 7, 2010",Ireland,Canada,Canada,Ireland,False
Chester,"Sep 10, 2010",England,England,England,Pakistan,False
Leeds,"Sep 12, 2010",England,England,England,Pakistan,False
The Oval,"Sep 17, 2010",Pakistan,England,England,Pakistan,False
Lord's,"Sep 20, 2010",Pakistan,England,England,Pakistan,False
Southampton,"Sep 22, 2010",England,England,England,Pakistan,False
Harare,"Sep 26, 2010",Zimbabwe,Zimbabwe,Zimbabwe,Ireland,False
Harare,"Sep 28, 2010",Zimbabwe,Zimbabwe,Zimbabwe,Ireland,False
Harare,"Sep 30, 2010",Ireland,Zimbabwe,Zimbabwe,Ireland,False
Dhaka,"Oct 5, 2010",Bangladesh,Bangladesh,Bangladesh,New Zealand,False
Nairobi,"Oct 7, 2010",Kenya,Kenya,Kenya,Afghanistan,False
Nairobi,"Oct 9, 2010",Afghanistan,Kenya,Kenya,Afghanistan,False
Dhaka,"Oct 11, 2010",Bangladesh,Bangladesh,Bangladesh,New Zealand,False
Nairobi,"Oct 11, 2010",Kenya,Kenya,Kenya,Afghanistan,False
Dhaka,"Oct 14, 2010",Bangladesh,Bangladesh,Bangladesh,New Zealand,False
Bloemfontein,"Oct 15, 2010",South Africa,South Africa,South Africa,Zimbabwe,False
Dhaka,"Oct 17, 2010",Bangladesh,Bangladesh,Bangladesh,New Zealand,False
Potchefstroom,"Oct 17, 2010",South Africa,South Africa,South Africa,Zimbabwe,False
Visakhapatnam,"Oct 20, 2010",India,India,India,Australia,False
Benoni,"Oct 22, 2010",South Africa,South Africa,South Africa,Zimbabwe,False
Abu Dhabi,"Oct 29, 2010",South Africa,U.A.E.,South Africa,Pakistan,True
Abu Dhabi,"Oct 31, 2010",Pakistan,U.A.E.,South Africa,Pakistan,True
Dubai,"Nov 2, 2010",South Africa,U.A.E.,South Africa,Pakistan,True
Melbourne,"Nov 3, 2010",Sri Lanka,Australia,Australia,Sri Lanka,False
Sydney,"Nov 5, 2010",Sri Lanka,Australia,Australia,Sri Lanka,False
Dubai,"Nov 5, 2010",Pakistan,U.A.E.,South Africa,Pakistan,True
Brisbane,"Nov 7, 2010",Australia,Australia,Australia,Sri Lanka,False
Dubai,"Nov 8, 2010",South Africa,U.A.E.,South Africa,Pakistan,True
Guwahati,"Nov 28, 2010",India,India,India,New Zealand,False
Dhaka,"Dec 1, 2010",Zimbabwe,Bangladesh,Bangladesh,Zimbabwe,False
Jaipur,"Dec 1, 2010",India,India,India,New Zealand,False
Dhaka,"Dec 3, 2010",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Vadodara,"Dec 4, 2010",India,India,India,New Zealand,False
Dhaka,"Dec 6, 2010",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Bengaluru,"Dec 7, 2010",India,India,India,New Zealand,False
Chennai,"Dec 10, 2010",India,India,India,New Zealand,False
Chittagong,"Dec 12, 2010",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Durban,"Jan 12, 2011",South Africa,South Africa,South Africa,India,False
Johannesburg,"Jan 15, 2011",India,South Africa,South Africa,India,False
Melbourne,"Jan 16, 2011",Australia,Australia,Australia,England,False
Cape Town,"Jan 18, 2011",India,South Africa,South Africa,India,False
Hobart,"Jan 21, 2011",Australia,Australia,Australia,England,False
Port Elizabeth,"Jan 21, 2011",South Africa,South Africa,South Africa,India,False
Wellington,"Jan 22, 2011",New Zealand,New Zealand,New Zealand,Pakistan,False
Sydney,"Jan 23, 2011",Australia,Australia,Australia,England,False
Centurion,"Jan 23, 2011",South Africa,South Africa,South Africa,India,False
Adelaide,"Jan 26, 2011",England,Australia,Australia,England,False
Christchurch,"Jan 29, 2011",Pakistan,New Zealand,New Zealand,Pakistan,False
Brisbane,"Jan 30, 2011",Australia,Australia,Australia,England,False
Napier,"Feb 1, 2011",Pakistan,New Zealand,New Zealand,Pakistan,False
Sydney,"Feb 2, 2011",Australia,Australia,Australia,England,False
Hamilton,"Feb 3, 2011",Pakistan,New Zealand,New Zealand,Pakistan,False
Colombo,"Feb 3, 2011",Sri Lanka,Sri Lanka,Sri Lanka,West Indies,False
Auckland,"Feb 5, 2011",New Zealand,New Zealand,New Zealand,Pakistan,False
Perth,"Feb 6, 2011",Australia,Australia,Australia,England,False
Colombo,"Feb 6, 2011",Sri Lanka,Sri Lanka,Sri Lanka,West Indies,False
Dhaka,"Feb 19, 2011",India,Bangladesh,Bangladesh,India,False
Chennai,"Feb 20, 2011",New Zealand,India,New Zealand,Kenya,True
Hambantota,"Feb 20, 2011",Sri Lanka,Sri Lanka,Sri Lanka,Canada,False
Ahmedabad,"Feb 21, 2011",Australia,India,Zimbabwe,Australia,True
Nagpur,"Feb 22, 2011",England,India,Netherlands,England,True
Hambantota,"Feb 23, 2011",Pakistan,Sri Lanka,Pakistan,Kenya,True
Delhi,"Feb 24, 2011",South Africa,India,West Indies,South Africa,True
Nagpur,"Feb 25, 2011",Australia,India,New Zealand,Australia,True
Dhaka,"Feb 25, 2011",Bangladesh,Bangladesh,Bangladesh,Ireland,False
Colombo,"Feb 26, 2011",Pakistan,Sri Lanka,Sri Lanka,Pakistan,False
Nagpur,"Feb 28, 2011",Zimbabwe,India,Zimbabwe,Canada,True
Delhi,"Feb 28, 2011",West Indies,India,West Indies,Netherlands,True
Colombo,"Mar 1, 2011",Sri Lanka,Sri Lanka,Sri Lanka,Kenya,False
Bengaluru,"Mar 2, 2011",Ireland,India,Ireland,England,True
Colombo,"Mar 3, 2011",Pakistan,Sri Lanka,Pakistan,Canada,True
Ahmedabad,"Mar 4, 2011",New Zealand,India,Zimbabwe,New Zealand,True
Dhaka,"Mar 4, 2011",West Indies,Bangladesh,Bangladesh,West Indies,False
Chennai,"Mar 6, 2011",England,India,South Africa,England,True
Bengaluru,"Mar 6, 2011",India,India,India,Ireland,False
Delhi,"Mar 7, 2011",Canada,India,Kenya,Canada,True
Delhi,"Mar 9, 2011",India,India,India,Netherlands,False
Chittagong,"Mar 11, 2011",Bangladesh,Bangladesh,Bangladesh,England,False
Nagpur,"Mar 12, 2011",South Africa,India,India,South Africa,False
Mumbai,"Mar 13, 2011",New Zealand,India,New Zealand,Canada,True
Bengaluru,"Mar 13, 2011",Australia,India,Kenya,Australia,True
Chittagong,"Mar 14, 2011",Bangladesh,Bangladesh,Bangladesh,Netherlands,False
Kolkata,"Mar 15, 2011",South Africa,India,South Africa,Ireland,True
Bengaluru,"Mar 16, 2011",Australia,India,Canada,Australia,True
Chennai,"Mar 17, 2011",England,India,West Indies,England,True
Kolkata,"Mar 18, 2011",Ireland,India,Netherlands,Ireland,True
Mumbai,"Mar 18, 2011",Sri Lanka,India,Sri Lanka,New Zealand,True
Dhaka,"Mar 19, 2011",South Africa,Bangladesh,Bangladesh,South Africa,False
Colombo,"Mar 19, 2011",Pakistan,Sri Lanka,Pakistan,Australia,True
Kolkata,"Mar 20, 2011",Zimbabwe,India,Zimbabwe,Kenya,True
Chennai,"Mar 20, 2011",India,India,India,West Indies,False
Dhaka,"Mar 23, 2011",Pakistan,Bangladesh,West Indies,Pakistan,True
Ahmedabad,"Mar 24, 2011",India,India,India,Australia,False
Dhaka,"Mar 25, 2011",New Zealand,Bangladesh,South Africa,New Zealand,True
Colombo,"Mar 26, 2011",Sri Lanka,Sri Lanka,Sri Lanka,England,False
Colombo,"Mar 29, 2011",Sri Lanka,Sri Lanka,Sri Lanka,New Zealand,False
Mumbai,"Apr 2, 2011",India,India,India,Sri Lanka,False
Dhaka,"Apr 9, 2011",Australia,Bangladesh,Bangladesh,Australia,False
Dhaka,"Apr 11, 2011",Australia,Bangladesh,Bangladesh,Australia,False
Dhaka,"Apr 13, 2011",Australia,Bangladesh,Bangladesh,Australia,False
Gros Islet,"Apr 23, 2011",Pakistan,West Indies,West Indies,Pakistan,False
Gros Islet,"Apr 25, 2011",Pakistan,West Indies,West Indies,Pakistan,False
Bridgetown,"Apr 28, 2011",Pakistan,West Indies,West Indies,Pakistan,False
Bridgetown,"May 2, 2011",West Indies,West Indies,West Indies,Pakistan,False
Providence,"May 5, 2011",West Indies,West Indies,West Indies,Pakistan,False
Belfast,"May 28, 2011",Pakistan,Ireland,Ireland,Pakistan,False
Belfast,"May 30, 2011",Pakistan,Ireland,Ireland,Pakistan,False
Port of Spain,"Jun 6, 2011",India,West Indies,West Indies,India,False
Port of Spain,"Jun 8, 2011",India,West Indies,West Indies,India,False
North Sound,"Jun 11, 2011",India,West Indies,West Indies,India,False
North Sound,"Jun 13, 2011",West Indies,West Indies,West Indies,India,False
Kingston,"Jun 16, 2011",West Indies,West Indies,West Indies,India,False
Aberdeen,"Jun 28, 2011",Scotland,Scotland,Scotland,Netherlands,False
The Oval,"Jun 28, 2011",England,England,England,Sri Lanka,False
Aberdeen,"Jun 29, 2011",Scotland,Scotland,Scotland,Netherlands,False
Leeds,"Jul 1, 2011",Sri Lanka,England,England,Sri Lanka,False
